epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,153.633,1.3902,3.54933,1.52973,0.52263,0.14161,0.09734,0.06003,1.43602,2.66195,1.54196,0.000128288,0.000128288,0.000128288
2,302.414,1.40718,2.6289,1.54192,0.47703,0.16935,0.13886,0.07834,1.56038,2.61007,1.59651,0.000246459,0.000246459,0.000246459
3,450.313,1.38041,2.47157,1.51846,0.32511,0.2204,0.16153,0.10244,1.44829,2.4485,1.53614,0.000354466,0.000354466,0.000354466
4,592.389,1.35173,2.33586,1.50979,0.47161,0.27474,0.21878,0.13789,1.47902,2.24772,1.57632,0.000339262,0.000339262,0.000339262
5,739.662,1.31212,2.20446,1.47762,0.35593,0.32186,0.22925,0.1413,1.45488,2.18976,1.58158,0.000324016,0.000324016,0.000324016
6,883.167,1.28282,2.09888,1.45877,0.45622,0.24395,0.2442,0.15442,1.3765,2.14822,1.4983,0.00030877,0.00030877,0.00030877
7,1023.78,1.2426,1.98257,1.43092,0.31596,0.35115,0.25728,0.16245,1.34763,2.11596,1.5005,0.000293524,0.000293524,0.000293524
8,1179.88,1.19047,1.86741,1.40183,0.53813,0.35113,0.32433,0.20011,1.36415,2.07496,1.4987,0.000278278,0.000278278,0.000278278
9,1344.73,1.1843,1.78954,1.39474,0.48161,0.30735,0.31884,0.2045,1.2944,1.94553,1.44204,0.000263032,0.000263032,0.000263032
10,1492.54,1.16512,1.72646,1.37953,0.51949,0.35961,0.36402,0.2348,1.28789,1.85711,1.42005,0.000247786,0.000247786,0.000247786
11,1633.05,1.13722,1.62681,1.35245,0.47232,0.37479,0.35017,0.22364,1.26271,1.83883,1.42811,0.00023254,0.00023254,0.00023254
12,1769.32,1.11722,1.56553,1.34312,0.44462,0.41159,0.38386,0.24924,1.2521,1.80761,1.40011,0.000217294,0.000217294,0.000217294
13,1916.81,1.08258,1.49697,1.32302,0.4527,0.42087,0.4365,0.28248,1.23872,1.71341,1.40146,0.000202048,0.000202048,0.000202048
14,2064.97,1.08086,1.47366,1.32587,0.49577,0.46594,0.43742,0.28556,1.24667,1.73874,1.37934,0.000186802,0.000186802,0.000186802
15,2213.08,1.06634,1.40652,1.31392,0.5471,0.46153,0.46267,0.30156,1.22905,1.62273,1.37899,0.000171556,0.000171556,0.000171556
16,2357.23,1.01352,1.14493,1.28673,0.5345,0.4559,0.46573,0.31474,1.22478,1.60727,1.37082,0.00015631,0.00015631,0.00015631
17,2503.68,0.99043,1.03694,1.26021,0.56992,0.47047,0.46988,0.32124,1.24943,1.67838,1.40069,0.000141064,0.000141064,0.000141064
18,2642.94,0.97281,0.9813,1.24855,0.64217,0.48118,0.50745,0.33971,1.20609,1.56208,1.33991,0.000125818,0.000125818,0.000125818
19,2788.22,0.93842,0.9275,1.22118,0.62295,0.51755,0.5324,0.35734,1.22712,1.57916,1.36638,0.000110572,0.000110572,0.000110572
20,2934.17,0.92279,0.87531,1.20511,0.67656,0.50211,0.54217,0.36584,1.19271,1.52695,1.3375,9.5326e-05,9.5326e-05,9.5326e-05
21,3081.92,0.90878,0.83375,1.19898,0.61942,0.48586,0.51464,0.34957,1.19147,1.53592,1.33721,8.008e-05,8.008e-05,8.008e-05
22,3221.03,0.88237,0.79224,1.18064,0.70999,0.48249,0.53868,0.3708,1.18367,1.5351,1.34258,6.4834e-05,6.4834e-05,6.4834e-05
23,3364.19,0.86419,0.75169,1.17174,0.673,0.52755,0.56585,0.39387,1.14491,1.47752,1.30061,4.9588e-05,4.9588e-05,4.9588e-05
24,3506.67,0.8369,0.71516,1.15699,0.66031,0.54088,0.56664,0.39636,1.14707,1.45173,1.31039,3.4342e-05,3.4342e-05,3.4342e-05
25,3643.99,0.8253,0.69761,1.14365,0.6945,0.51381,0.56353,0.39422,1.13524,1.43188,1.29975,1.9096e-05,1.9096e-05,1.9096e-05
